Planned Amount,Expenditure Incurred,Financial Year,Not Onboarded,Scheme,Month Book Closed,Month Book Not Closed,ZP Name,No of ZPs,Available Amount,state_code_census,States,Year Book Not Closed,zp_code,Year Book Closed,Opening Balance,region,Total Release,Unspent Balance,state_code_lgd,Receipts,Onboarded
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,DIMA HASAO AUTONOMOUS COUNCIL,1,0.00E+00,18,ASSAM,1,269972,0,0.00E+00,North East,0.00E+00,0.00E+00,18,0.00E+00,0
"37,813,000.00",0.00,2021-2022,0,XV Finance Commission,1,0,Bemetara,1,52312626,22,CHHATTISGARH,0,272332,1,52312626,Central,7563000,52312626,22,0.00E+00,1
"37,734,000.00","8,604,500.00",2021-2022,0,XV Finance Commission,1,0,Balod,1,59604666,22,CHHATTISGARH,0,272333,1,52057666,Central,7547000,51000166,22,7547000,1
"13,548,000.00","381,554.00",2021-2022,0,XV Finance Commission,1,0,Sukma,1,21368957,22,CHHATTISGARH,0,272734,1,18658957,Central,2710000,20987403,22,2710000,1
"28,555,000.00","22,883,610.00",2021-2022,0,XV Finance Commission,1,0,Kondagaon,1,45318522,22,CHHATTISGARH,0,272735,1,29951522,Central,5711000,22434912,22,15367000,1
"59,001,000.00","16,719,500.00",2021-2022,0,XV Finance Commission,1,0,Balodabazar,1,91603000,22,CHHATTISGARH,0,272736,1,79803000,Central,11800000,74883500,22,11800000,1
"29,739,000.00","251,200.00",2021-2022,0,XV Finance Commission,1,0,Gariyaband,1,46171000,22,CHHATTISGARH,0,272737,1,20632000,Central,5948000,45919800,22,25539000,1
"32,675,000.00","994,000.00",2021-2022,0,XV Finance Commission,1,0,Mungeli,1,338253524,22,CHHATTISGARH,0,272738,1,331718524,Central,6535000,337259524,22,6535000,1
"37,583,000.00",0.00,2021-2022,0,XV Finance Commission,1,0,Surajpur,1,58349000,22,CHHATTISGARH,0,272739,1,50832000,Central,30068000,58349000,22,7517000,1
"37,294,000.00","7,167,820.00",2021-2022,0,XV Finance Commission,1,0,Balrampur,1,57900000,22,CHHATTISGARH,0,272740,1,57900000,Central,0.00E+00,50732180,22,0.00E+00,1
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,KRA DAADI,1,0.00E+00,12,ARUNACHAL PRADESH,1,274254,0,0.00E+00,North East,0.00E+00,0.00E+00,12,0.00E+00,0
